radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
zufrier,zufrieren,—,—,friert zu,fror zu,zugefroren,fröre zu,—,—,sein
entbind,entbinden,entbinde,entbindest,entbindet,entband,entbunden,entbände,entbind,entbindet,haben
beregn,beregnen,beregne,beregnest,beregnet,beregnete,beregnet,beregnete,beregne,beregnet,haben
anlieb,anlieben,liebe an,liebst an,liebt an,liebte an,angeliebt,liebte an,lieb an,liebt an,haben
milder,mildern,mildere,milderst,mildert,milderte,gemildert,milderte,mildere,mildert,haben
minder,mindern,mindere,minderst,mindert,minderte,gemindert,minderte,mindere,mindert,haben
französier,französieren,französiere,französierst,französiert,französierte,französiert,französierte,französier,französiert,haben
französisier,französisieren,französisiere,französisierst,französisiert,französisierte,französisiert,französisierte,französisier,französisiert,haben
nutrier,nutrieren,nutriere,nutrierst,nutriert,nutrierte,nutriert,nutrierte,nutriere,nutriert,haben
sportel,sporteln,sportel,sportelst,sportelt,sportelte,gesportelt,sportelte,sportel,sportelt,haben
verhütt,verhütten,verhütte,verhüttest,verhüttet,verhüttete,verhüttet,verhüttete,verhütt,verhüttet,haben
monologisier,monologisieren,monologisiere,monologisierst,monologisiert,monologisierte,monologisiert,monologisierte,monologisier,monologisiert,haben
wegtolerier,wegtolerieren,toleriere weg,tolerierst weg,toleriert weg,tolerierte weg,wegtoleriert,tolerierte weg,tolerier weg,toleriert weg,haben
nasalier,nasalieren,nasaliere,nasalierst,nasaliert,nasalierte,nasaliert,nasalierte,nasalier,nasaliert,haben
Benutzer:Thirunavukkarasye-Raveendran/abstoß,Benutzer:Thirunavukkarasye-Raveendran/abstoßen,-,-,-,-,abgestoßen,stieße ab,stoße ab!,stoßt ab!,haben
abstoß,abstoßen,stoße ab,stößt ab,stößt ab,stieß ab,abgestoßen,stieße ab,stoße ab,stoßt ab,haben
nationalisier,nationalisieren,nationalisiere,nationalisierst,nationalisiert,nationalisierte,nationalisiert,nationalisierte,nationalisier,nationalisiert,haben
erfolter,erfoltern,erfoltere,erfolterst,erfoltert,erfolterte,erfoltert,erfolterte,erfolter,erfoltert,haben
verheil,verheilen,—,—,verheilt,verheilte,verheilt,verheilte,—,—,sein
jüdel,jüdeln,jüdle,jüdelst,jüdelt,jüdelte,gejüdelt,jüdelte,jüdle,jüdelt,haben
hoppel,hoppeln,hopple,hoppelst,hoppelt,hoppelte,gehoppelt,hoppelte,hopple,hoppelt,sein
xerokopier,xerokopieren,xerokopiere,xerokopierst,xerokopiert,xerokopierte,xerokopiert,xerokopierte,xerokopier,xerokopiert,haben
xerografier,xerografieren,xerografiere,xerografierst,xerografiert,xerografierte,xerografiert,xerografierte,xerografier,xerografiert,haben
aufatm,aufatmen,atme auf,atmest auf,atmet auf,atmete auf,aufgeatmet,atmete auf,atme auf,atmet auf,haben
säum,säumen,säume,säumst,säumt,säumte,gesäumt,säumte,säum,säumt,haben
umsäum,umsäumen,umsäume,umsäumst,umsäumt,umsäumte,umsäumt,umsäumte,umsäum,umsäumt,haben
exaltier,exaltieren,exaltiere,exaltierst,exaltiert,exaltierte,exaltiert,exaltierte,exaltier,exaltiert,haben
atomisier,atomisieren,atomisiere,atomisierst,atomisiert,atomisierte,atomisiert,atomisierte,atomisiere,atomisiert,haben
stream,streamen,streame,streamst,streamt,streamte,gestreamt,streamte,stream,streamt,haben
beratschlag,beratschlagen,beratschlage,beratschlagst,beratschlagt,beratschlagte,beratschlagt,beratschlagte,beratschlag,beratschlagt,haben
ratschlag,ratschlagen,ratschlage,ratschlagst,ratschlagt,ratschlagte,geratschlagt,ratschlagte,ratschlag,ratschlagt,haben
emporsteig,emporsteigen,steige empor,steigst empor,steigt empor,stieg empor,emporgestiegen,stiege empor,steig empor,steigt empor,sein
nachmach,nachmachen,mache nach,machst nach,macht nach,machte nach,nachgemacht,machte nach,mach nach,macht nach,haben
erbos,erbosen,erbose,erbost,erbost,erboste,erbost,erboste,erbos,erbost,haben
hinkack,hinkacken,kacke hin,kackst hin,kackt hin,kackte hin,hingekackt,kackte hin,kack hin,kackt hin,haben
gender,gendern,gendere,genderst,gendert,genderte,gegendert,genderte,gendere,gendert,haben
durchzähl,durchzählen,zähle durch,zählst durch,zählt durch,zählte durch,durchgezählt,zählte durch,zähl durch,zählt durch,haben
abzähl,abzählen,zähle ab,zählst ab,zählt ab,zählte ab,abgezählt,zählte ab,zähl ab,zählt ab,haben
vertikutier,vertikutieren,vertikutiere,vertikutierst,vertikutiert,vertikutierte,vertikutiert,vertikutierte,vertikutiere,vertikutiert,haben
krebs,krebsen,krebse,krebst,krebst,krebste,gekrebst,krebste,krebs,krebst,haben
verseng,versengen,versenge,versengst,versengt,versengte,versengt,versengte,verseng,versengt,haben
zufall,zufallen,falle zu,fällst zu,fällt zu,fiel zu,zugefallen,fiele zu,fall zu,fallt zu,sein
vulgarisier,vulgarisieren,vulgarisiere,vulgarisierst,vulgarisiert,vulgarisierte,vulgarisiert,vulgarisierte,vulgarisier,vulgarisiert,haben
zersäg,zersägen,zersäge,zersägst,zersägt,zersägte,zersägt,zersägte,zersäg,zersägt,haben
render,rendern,rendere,renderst,rendert,renderte,gerendert,renderte,render,rendert,haben
verzehnfach,verzehnfachen,verzehnfache,verzehnfachst,verzehnfacht,verzehnfachte,verzehnfacht,verzehnfachte,verzehnfach,verzehnfacht,haben
trimm,trimmen,trimme,trimmst,trimmt,trimmte,getrimmt,trimmte,trimme,trimmt,haben
hantier,hantieren,hantiere,hantierst,hantiert,hantierte,hantiert,hantierte,hantiere,hantiert,haben
hineinwerf,hineinwerfen,werfe hinein,wirfst hinein,wirft hinein,warf hinein,hineingeworfen,würfe hinein,wirf hinein,werft hinein,haben
volvier,volvieren,volviere,volvierst,volviert,volvierte,volviert,volvierte,volvier,volviert,haben
verkleid,verkleiden,verkleide,verkleidest,verkleidet,verkleidete,verkleidet,verkleidete,verkleide,verkleidet,haben
hetz,hetzen,hetze,hetzt,hetzt,hetzte,gehetzt,hetzte,hetze,hetzt,haben
zergeh,zergehen,zergehe,zergehst,zergeht,zerging,zergangen,zerginge,zergeh,zergeht,sein
quotel,quoteln,quotle,quotelst,quotelt,quotelte,gequotelt,quotelte,quotle,quotelt,haben
latinisier,latinisieren,latinisiere,latinisierst,latinisiert,latinisierte,latinisiert,latinisierte,latinisier,latinisiert,haben
ironisier,ironisieren,ironisiere,ironisierst,ironisiert,ironisierte,ironisiert,ironisierte,ironisier,ironisiert,haben
entlehn,entlehnen,entlehne,entlehnst,entlehnt,entlehnte,entlehnt,entlehnte,entlehn,entlehnt,haben
herabwürdig,herabwürdigen,herabwürdige,herabwürdigst,herabwürdigt,herabwürdigte,herabgewürdigt,herabwürdigte,würdige herab,würdigt herab,haben
kies,kiesen,kiese,kiest,kiest,kieste,gekiest,kieste,kies,kiest,haben
aufzähl,aufzählen,zähle auf,zählst auf,zählt auf,zählte auf,aufgezählt,zählte auf,zähl auf,zählt auf,haben
heraufheb,heraufheben,hebe herauf,hebst herauf,hebt herauf,hob herauf,heraufgehoben,höbe herauf,heb herauf,hebt herauf,haben
kachel,kacheln,kachele,kachelst,kachelt,kachelte,gekachelt,kachelte,kachele,kachelt,haben
stepp,steppen,steppe,steppst,steppt,steppte,gesteppt,steppte,steppe,steppt,haben
besüssel,besüsseln,besüssle,besüsselst,besüsselt,besüsselte,besüsselt,besüsselte,besüssel,besüsselt,haben
vordring,vordringen,dringe vor,dringst vor,dringt vor,drang vor,vorgedrungen,dränge vor,dring vor,dringt vor,sein
Benutzer:TaxonBot/lieb,Benutzer:TaxonBot/lieben,-,-,-,-,geliebt,liebte,liebe,liebt,haben
abbürst,abbürsten,bürste ab,bürstest ab,bürstet ab,bürstete ab,abgebürstet,bürstete ab,bürst ab,bürstet ab,haben
abfrier,abfrieren,friere ab,frierst ab,friert ab,fror ab,abgefroren,fröre ab,frier ab,friert ab,sein
koller,kollern,kollere,kollerst,kollert,kollerte,gekollert,kollerte,koller,kollert,haben
asch,aschen,asche,aschst,ascht,aschte,geascht,aschte,asch,ascht,haben
abwisch,abwischen,wische ab,wischst ab,wischt ab,wischte ab,abgewischt,wischte ab,wisch ab,wischt ab,haben
flucht,fluchten,—,—,fluchtet,fluchtete,gefluchtet,fluchtete,—,—,haben
schubber,schubbern,schubbere,schubberst,schubbert,schubberte,geschubbert,schubberte,schubber,schubbert,haben
herumdokter,herumdoktern,doktere herum,dokterst herum,doktert herum,dokterte herum,herumgedoktert,dokterte herum,dokter herum,doktert herum,haben
abring,abringen,ringe ab,ringst ab,ringt ab,rang ab,abgerungen,ränge ab,ring ab,ringt ab,haben
wöll,wöllen,wölle,wöllst,wöllt,wöllte,gewöllt,wöllte,wöll,wöllt,haben
herumscharwenzel,herumscharwenzeln,scharwenzele herum,scharwenzelst herum,scharwenzelt herum,scharwenzelte herum,herumscharwenzelt,scharwenzelte herum,scharwenzle herum,scharwenzelt herum,sein
verdrieß,verdrießen,verdrieße,verdrießt,verdrießt,verdross,verdrossen,verdrösse,verdrieß,verdrießt,haben
ausschimpf,ausschimpfen,schimpfe aus,schimpfst aus,schimpft aus,schimpfte aus,ausgeschimpft,schimpfte aus,schimpf aus,schimpft aus,haben
zurechtweis,zurechtweisen,weise zurecht,weist zurecht,weist zurecht,wies zurecht,zurechtgewiesen,wiese zurecht,weis zurecht,weist zurecht,haben
umänder,umändern,ändere um,änderst um,ändert um,änderte um,umgeändert,änderte um,änder um,ändert um,haben
auskotz,auskotzen,kotze aus,kotzt aus,kotzt aus,kotzte aus,ausgekotzt,kotzte aus,kotz aus,kotzt aus,haben
spreit,spreiten,spreite,spreitest,spreitet,spreitete,gespreitet,spreitete,spreit,spreitet,haben
psalmodier,psalmodieren,psalmodiere,psalmodierst,psalmodiert,psalmodierte,psalmodiert,psalmodierte,psalmodier,psalmodiert,haben
darr,darren,darre,darrst,darrt,darrte,gedarrt,darrte,darr,darrt,haben
sex,sexen,sexe,sext,sext,sexte,gesext,sexte,sexe,sext,haben
entfolg,entfolgen,entfolge,entfolgst,entfolgt,entfolgte,entfolgt,entfolgte,entfolge,entfolgt,haben
verfem,verfemen,verfeme,verfemst,verfemt,verfemte,verfemt,verfemte,verfem,verfemt,haben
werweiss,werweissen,werweisse,werweisst,werweisst,werweisste,gewerweisst,werweisste,werweisse,werweisst,haben
umentscheid,umentscheiden,entscheide um,entscheidest um,entscheidet um,entschied um,umentschieden,entschiede um,entscheid um,entscheidet um,haben
loseis,loseisen,eise los,eist los,eist los,eiste los,losgeeist,eiste los,eis los,eist los,haben
abärger,abärgern,ärgere ab,ärgerst ab,ärgert ab,ärgerte ab,abgeärgert,ärgerte ab,ärgere ab,ärgert ab,haben
kauder,kaudern,kaudere,kauderst,kaudert,kauderte,gekaudert,kauderte,kaudere,kaudert,haben
abbrat,abbraten,brate ab,brätst ab,brät ab,briet ab,abgebraten,briete ab,brat ab,bratet ab,haben
verdol,verdolen,verdole,verdolst,verdolt,verdolte,verdolt,verdolte,verdol,verdolt,haben
verabsäum,verabsäumen,verabsäume,verabsäumst,verabsäumt,verabsäumte,verabsäumt,verabsäumte,verabsäum,verabsäumt,haben
hinarbeit,hinarbeiten,arbeite hin,arbeitest hin,arbeitet hin,arbeitete hin,hingearbeitet,arbeitete hin,arbeit hin,arbeitet hin,haben
verknack,verknacken,verknacke,verknackst,verknackt,verknackte,verknackt,verknackte,verknack,verknackt,haben
verroh,verrohen,verrohe,verrohst,verroht,verrohte,verroht,verrohte,verroh,verroht,haben
orakel,orakeln,orakle,orakelst,orakelt,orakelte,orakelt,orakelte,orakle,orakelt,haben
tändel,tändeln,tändele,tändelst,tändelt,tändelte,getändelt,tändelte,tändele,tändelt,haben
schor,schoren,schore,schorst,schort,schorte,geschort,schorte,schore,schort,haben
verunmöglich,verunmöglichen,verunmögliche,verunmöglichst,verunmöglicht,verunmöglichte,verunmöglicht,verunmöglichte,verunmögliche,verunmöglicht,haben
verbrief,verbriefen,verbriefe,verbriefst,verbrieft,verbriefte,verbrieft,verbriefte,verbrief,verbrieft,haben
sünnel,sünnelen,sünnele,sünnelest,sünnelet,sünnelete,gesünnelet,sünnelete,sünnele,sünnelet,haben
sonnenbad,sonnenbaden,sonnenbade,sonnenbadest,sonnenbadet,sonnenbadete,sonnengebadet,sonnenbadete,sonnenbade,sonnenbadet,haben
zerstrahl,zerstrahlen,zerstrahle,zerstrahlst,zerstrahlt,zerstrahlte,zerstrahlt,zerstrahlte,zerstrahl,zerstrahlt,sein
exstirpier,exstirpieren,exstirpiere,exstirpierst,exstirpiert,exstirpierte,exstirpiert,exstirpierte,exstirpier,exstirpiert,haben
jazz,jazzen,jazze,jazzt,jazzt,jazzte,gejazzt,jazzte,jazz,jazzt,haben
euphorisier,euphorisieren,euphorisiere,euphorisierst,euphorisiert,euphorisierte,euphorisiert,euphorisierte,euphorisier,euphorisiert,haben
ausspar,aussparen,spare aus,sparst aus,spart aus,sparte aus,ausgespart,sparte aus,spar aus,spart aus,haben
auslot,ausloten,lote aus,lotest aus,lotet aus,lotete aus,ausgelotet,lotete aus,lot aus,lotet aus,haben
stöckel,stöckeln,stöckle,stöckelst,stöckelt,stöckelte,gestöckelt,stöckelte,stöckle,stöckelt,sein
knosp,knospen,—,—,knospt,knospte,geknospt,knospte,—,—,haben
aufbürd,aufbürden,bürde auf,bürdest auf,bürdet auf,bürdete auf,aufgebürdet,bürdete auf,bürd auf,bürdet auf,haben
zerklüft,zerklüften,zerklüfte,zerklüftest,zerklüftet,zerklüftete,zerklüftet,zerklüftete,zerklüft,zerklüftet,haben
übersteh,überstehen,überstehe,überstehst,übersteht,überstand,überstanden,überstände,übersteh,übersteht,haben
fortlauf,fortlaufen,laufe fort,läufst fort,läuft fort,lief fort,fortgelaufen,liefe fort,lauf fort,lauft fort,sein
runterrock,runterrocken,rocke runter,rockst runter,rockt runter,rockte runter,runtergerockt,rockte runter,rock runter,rockt runter,haben
standardisier,standardisieren,standardisiere,standardisierst,standardisiert,standardisierte,standardisiert,standardisierte,standardisier,standardisiert,haben
nifter,niftern,niftere,nifterst,niftert,nifterte,geniftert,nifterte,niftere,niftert,haben
anerzieh,anerziehen,erziehe an,erziehst an,erzieht an,erzog an,anerzogen,erzöge an,erzieh an,erzieht an,haben
überschäum,überschäumen,schäume über,schäumst über,schäumt über,schäumte über,übergeschäumt,schäumte über,schäume über,schäumt über,sein
verharr,verharren,verharre,verharrst,verharrt,verharrte,verharrt,verharrte,verharr,verharrt,haben
wucht,wuchten,wuchte,wuchtest,wuchtet,wuchtete,gewuchtet,wuchtete,wucht,wuchtet,haben
klargeh,klargehen,—,—,geht klar,ging klar,klargegangen,ginge klar,—,—,sein
anführ,anführen,führe an,führst an,führt an,führte an,angeführt,führte an,führ an,führt an,haben
schmurgel,schmurgeln,schmurgele,schmurgelst,schmurgelt,schmurgelte,geschmurgelt,schmurgelte,schmurgel,schmurgelt,haben
verschrumpel,verschrumpeln,verschrumpele,verschrumpelst,verschrumpelt,verschrumpelte,verschrumpelt,verschrumpelte,verschrumpele,verschrumpelt,sein
niederkomm,niederkommen,komme nieder,kommst nieder,kommt nieder,kam nieder,niedergekommen,käme nieder,komm nieder,kommt nieder,sein
entmin,entminen,entmine,entminst,entmint,entminte,entmint,entminte,entmine,entmint,haben
entwisch,entwischen,entwische,entwischst,entwischt,entwischte,entwischt,entwischte,entwisch,entwischt,sein
auffress,auffressen,fresse auf,frisst auf,frisst auf,fraß auf,aufgefressen,fräße auf,friss auf,fresst auf,haben
bemal,bemalen,bemale,bemalst,bemalt,bemalte,bemalt,bemalte,bemal,bemalt,haben
container,containern,containere,containerst,containert,containerte,containert,containerte,containere,containert,haben
rektifizier,rektifizieren,rektifiziere,rektifizierst,rektifiziert,rektifizierte,rektifiziert,rektifizierte,rektifizier,rektifiziert,haben
aufbiet,aufbieten,biete auf,bietest auf,bietet auf,bot auf,aufgeboten,böte auf,biet auf,bietet auf,haben
abfinger,abfingern,fingere ab,fingerst ab,fingert ab,fingerte ab,abgefingert,fingerte ab,fingere ab,fingert ab,haben
abdräng,abdrängen,dränge ab,drängst ab,drängt ab,drängte ab,abgedrängt,drängte ab,dränge ab,drängt ab,haben
aufspritz,aufspritzen,spritze auf,spritzt auf,spritzt auf,spritzte auf,aufgespritzt,spritzte auf,spritz auf,spritzt auf,haben
luxier,luxieren,luxiere,luxierst,luxiert,luxierte,luxiert,luxierte,luxier,luxiert,haben
entblöd,entblöden,entblöde,entblödest,entblödet,entblödete,entblödet,entblödete,entblöd,entblödet,haben
faustfick,faustficken,faustficke,faustfickst,faustfickt,faustfickte,faustgefickt,faustfickte,faustficke,faustfickt,haben
verästel,verästeln,verästle,verästelst,verästelt,verästelte,verästelt,verästelte,verästele,verästelt,haben
vererb,vererben,vererbe,vererbst,vererbt,vererbte,vererbt,vererbte,vererb,vererbt,haben
dimensionier,dimensionieren,dimensioniere,dimensionierst,dimensioniert,dimensionierte,dimensioniert,dimensionierte,dimensioniere,dimensioniert,haben
trockenleg,trockenlegen,lege trocken,legst trocken,legt trocken,legte trocken,trockengelegt,legte trocken,leg trocken,legt trocken,haben
entwert,entwerten,entwerte,entwertest,entwertet,entwertete,entwertet,entwertete,entwert,entwertet,haben
ummünz,ummünzen,münze um,münzt um,münzt um,münzte um,umgemünzt,münzte um,münz um,münzt um,haben
datier,datieren,datiere,datierst,datiert,datierte,datiert,datierte,datier,datiert,haben
anmoderier,anmoderieren,moderiere an,moderierst an,moderiert an,moderierte an,anmoderiert,moderierte an,moderier an,moderiert an,haben
vorrechn,vorrechnen,rechne vor,rechnest vor,rechnet vor,rechnete vor,vorgerechnet,rechnete vor,rechne vor,rechnet vor,haben
stolzier,stolzieren,stolziere,stolzierst,stolziert,stolzierte,stolziert,stolzierte,stolzier,stolziert,sein
loch,lochen,loche,lochst,locht,lochte,gelocht,lochte,loch,locht,haben
cod,coden,code,codest,codet,codete,gecodet,codete,code,codet,haben
benot,benoten,benote,benotest,benotet,benotete,benotet,benotete,benot,benotet,haben
hinzuzieh,hinzuziehen,ziehe hinzu,ziehst hinzu,zieht hinzu,zog hinzu,hinzugezogen,zöge hinzu,zieh hinzu,zieht hinzu,haben
wachküss,wachküssen,küsse wach,küsst wach,küsst wach,küsste wach,wachgeküsst,küsste wach,küsse wach,küsst wach,haben
karjuckel,karjuckeln,karjuckele,karjuckelst,karjuckelt,karjuckelte,karjuckelt,karjuckelte,karjuckele,karjuckelt,sein
zumüll,zumüllen,mülle zu,müllst zu,müllt zu,müllte zu,zugemüllt,müllte zu,müll zu,müllt zu,haben
ausufer,ausufern,ufere aus,uferst aus,ufert aus,uferte aus,ausgeufert,uferte aus,ufer aus,ufert aus,sein
zerscherb,zerscherben,zerscherbe,zerscherbst,zerscherbt,zerscherbte,zerscherbt,zerscherbte,zerscherb,zerscherbt,sein
dampfgar,dampfgaren,dampfgare,dampfgarst,dampfgart,dampfgarte,dampfgegart,dampfgarte,dampfgare,dampfgart,haben
furnier,furnieren,furniere,furnierst,furniert,furnierte,furniert,furnierte,furnier,furniert,haben
plastifizier,plastifizieren,plastifiziere,plastifizierst,plastifiziert,plastifizierte,plastifiziert,plastifizierte,plastifiziere,plastifiziert,haben
überbrück,überbrücken,überbrücke,überbrückst,überbrückt,überbrückte,überbrückt,überbrückte,überbrück,überbrückt,haben
entström,entströmen,—,—,entströmt,entströmte,entströmt,entströmte,—,—,sein
heraufspuck,heraufspucken,spucke herauf,spuckst herauf,spuckt herauf,spuckte herauf,heraufgespuckt,spuckte herauf,spuck herauf,spuckt herauf,haben
vorbeizieh,vorbeiziehen,ziehe vorbei,ziehst vorbei,zieht vorbei,zog vorbei,vorbeigezogen,zöge vorbei,zieh vorbei,zieht vorbei,sein
durchstöber,durchstöbern,durchstöbere,durchstöberst,durchstöbert,durchstöberte,durchstöbert,durchstöberte,durchstöbere,durchstöbert,haben
hur,huren,hure,hurst,hurt,hurte,gehurt,hurte,hur,hurt,haben
entpflicht,entpflichten,entpflichte,entpflichtest,entpflichtet,entpflichtete,entpflichtet,entpflichtete,entpflicht,entpflichtet,haben
auseinanderdividier,auseinanderdividieren,dividiere auseinander,dividierst auseinander,dividiert auseinander,dividierte auseinander,auseinanderdividiert,dividierte auseinander,dividier auseinander,dividiert auseinander,haben
nist,nisten,niste,nistest,nistet,nistete,genistet,nistete,nist,nistet,haben
verwirk,verwirken,verwirke,verwirkst,verwirkt,verwirkte,verwirkt,verwirkte,verwirk,verwirkt,haben
rezitier,rezitieren,rezitiere,rezitierst,rezitiert,rezitierte,rezitiert,rezitierte,rezitier,rezitiert,haben
eindämmer,eindämmern,dämmere ein,dämmerst ein,dämmert ein,dämmerte ein,eingedämmert,dämmerte ein,dämmere ein,dämmert ein,sein
festschnall,festschnallen,schnalle fest,schnallst fest,schnallt fest,schnallte fest,festgeschnallt,schnallte fest,schnall fest,schnallt fest,haben
zuschneid,zuschneiden,schneide zu,schneidest zu,schneidet zu,schnitt zu,zugeschnitten,schnitte zu,schneid zu,schneidet zu,haben
bedünk,bedünken,—,—,bedünkt,bedünkte,bedünkt,bedünkte,—,—,haben
aufschnapp,aufschnappen,schnappe auf,schnappst auf,schnappt auf,schnappte auf,aufgeschnappt,schnappte auf,schnappe auf,schnappt auf,haben
einäscher,einäschern,äschere ein,äscherst ein,äschert ein,äscherte ein,eingeäschert,äscherte ein,äschere ein,äschert ein,haben
verdeck,verdecken,verdecke,verdeckst,verdeckt,verdeckte,verdeckt,verdeckte,verdeck,verdeckt,haben
willfahr,willfahren,willfahre,willfahrst,willfahrt,willfahrte,gewillfahrt,willfahre,willfahre,willfahrt,haben
firm,firmen,firme,firmst,firmt,firmte,gefirmt,firmte,firm,firmt,haben
fram,framen,frame,framst,framt,framte,geframt,framte,frame,framet,haben
herz,herzen,herze,herzt,herzt,herzte,geherzt,herzte,herz,herzt,haben
verfug,verfugen,verfuge,verfugst,verfugt,verfugte,verfugt,verfugte,verfug,verfugt,haben
ausaper,ausapern,apere aus,aperst aus,apert aus,aperte aus,ausgeapert,aperte aus,aper aus,apert aus,haben
verkackeier,verkackeiern,verkackeiere,verkackeierst,verkackeiert,verkackeierte,verkackeiert,verkackeierte,verkackeiere,verkackeiert,haben
harf,harfen,harfe,harfst,harft,harfte,geharft,harfte,harf,harft,haben
anstups,anstupsen,stupse an,stupst an,stupst an,stupste an,angestupst,stupste an,stups an,stupst an,haben
entsprieß,entsprießen,entsprieße,entsprießt,entsprießt,entspross,entsprossen,entsprösse,entsprieß,entsprießt,sein
refusier,refusieren,refusiere,refusierst,refusiert,refusierte,refusiert,refusierte,refusier,refusiert,haben
molestier,molestieren,molestiere,molestierst,molestiert,molestierte,molestiert,molestierte,molestier,molestiert,haben
plastinier,plastinieren,plastiniere,plastinierst,plastiniert,plastinierte,plastiniert,plastinierte,plastinier,plastiniert,haben
einbalsamier,einbalsamieren,balsamiere ein,balsamierst ein,balsamiert ein,balsamierte ein,einbalsamiert,balsamierte ein,balsamier ein,balsamiert ein,haben
mumifizier,mumifizieren,mumifiziere,mumifizierst,mumifiziert,mumifizierte,mumifiziert,mumifizierte,mumifizier,mumifiziert,haben
deich,deichen,deiche,deichst,deicht,deichte,gedeicht,deichte,deich,deicht,haben
flatulier,flatulieren,flatuliere,flatulierst,flatuliert,flatulierte,flatuliert,flatulierte,flatulier,flatuliert,haben
bläh,blähen,blähe,blähst,bläht,blähte,gebläht,blähte,bläh,bläht,haben
aufwiegel,aufwiegeln,wiegele auf,wiegelst auf,wiegelt auf,wiegelte auf,aufgewiegelt,wiegelte auf,wiegel auf,wiegelt auf,haben
entring,entringen,entringe,entringst,entringt,entrang,entrungen,entränge,entring,entringt,haben
aufbügel,aufbügeln,bügel auf,bügelst auf,bügelt auf,bügelte auf,aufgebügelt,bügelte auf,bügel auf,bügelt auf,haben
aufriegel,aufriegeln,riegel auf,riegelst auf,riegelt auf,riegelte auf,aufgeriegelt,riegelte auf,riegel auf,riegelt auf,haben
pölz,pölzen,pölze,pölzt,pölzt,pölzte,gepölzt,pölzte,pölz,pölzt,haben
dejeunier,dejeunieren,dejeuniere,dejeunierst,dejeuniert,dejeunierte,dejeuniert,dejeunierte,dejeunier,dejeuniert,haben
präludier,präludieren,präludiere,präludierst,präludiert,präludierte,präludiert,präludierte,präludier,präludiert,haben
metaphorisier,metaphorisieren,metaphorisiere,metaphorisierst,metaphorisiert,metaphorisierte,metaphorisiert,metaphorisierte,metaphorisier,metaphorisiert,haben
schröpf,schröpfen,schröpfe,schröpfst,schröpft,schröpfte,geschröpft,schröpfte,schröpf,schröpft,haben
ausbeut,ausbeuten,beute aus,beutest aus,beutet aus,beutete aus,ausgebeutet,beutete aus,beute aus,beutet aus,haben
aufsuch,aufsuchen,suche auf,suchst auf,sucht auf,suchte auf,aufgesucht,suchte auf,such auf,sucht auf,haben
hinunterwerf,hinunterwerfen,werfe hinunter,wirfst hinunter,wirft hinunter,warf hinunter,hinuntergeworfen,würfe hinunter,wirf hinunter,werft hinunter,haben
abteil,abteilen,teile ab,teilst ab,teilt ab,teilte ab,abgeteilt,teilte ab,teil ab,teilt ab,haben
zusammenschreck,zusammenschrecken,schrecke zusammen,schreckst zusammen,schreckt zusammen,schreckte zusammen,zusammengeschreckt,schreckte zusammen,schreck zusammen,schreckt zusammen,sein
maul,maulen,maule,maulst,mault,maulte,gemault,maulte,maule,mault,haben
fax,faxen,faxe,faxt,faxt,faxte,gefaxt,faxte,fax,faxt,haben
hinabsteig,hinabsteigen,steige hinab,steigst hinab,steigt hinab,stieg hinab,hinabgestiegen,stiege hinab,steig hinab,steigt hinab,sein
glitsch,glitschen,glitsche,glitschst,glitscht,glitschte,geglitscht,glitschte,glitsch,glitscht,sein
flutsch,flutschen,flutsche,flutschst,flutscht,flutschte,geflutscht,flutschte,flutsch,flutscht,sein
schlidder,schliddern,schliddere,schlidderst,schliddert,schlidderte,geschliddert,schlidderte,schlidder,schliddert,haben
glubsch,glubschen,glubsche,glubschst,glubscht,glubschte,geglubscht,glubschte,glubsch,glubscht,haben
glupsch,glupschen,glupsche,glupschst,glupscht,glupschte,geglupscht,glupschte,glupsch,glupscht,haben
losmarschier,losmarschieren,marschiere los,marschierst los,marschiert los,marschierte los,losmarschiert,marschierte los,marschier los,marschiert los,sein
hinaufkletter,hinaufklettern,klettere hinauf,kletterst hinauf,klettert hinauf,kletterte hinauf,hinaufgeklettert,kletterte hinauf,klettere hinauf,klettert hinauf,sein
hinabseh,hinabsehen,sehe hinab,siehst hinab,sieht hinab,sah hinab,hinabgesehen,sähe hinab,sieh hinab,seht hinab,haben
pragmatisier,pragmatisieren,pragmatisiere,pragmatisierst,pragmatisiert,pragmatisierte,pragmatisiert,pragmatisierte,pragmatisiere,pragmatisiert,haben
knüll,knüllen,knülle,knüllst,knüllt,knüllte,geknüllt,knüllte,knüll,knüllt,haben
ausrangier,ausrangieren,rangiere aus,rangierst aus,rangiert aus,rangierte aus,ausrangiert,rangierte aus,rangier aus,rangiert aus,haben
schürz,schürzen,schürze,schürzt,schürzt,schürzte,geschürzt,schürzte,schürz,schürzt,haben
verleugn,verleugnen,verleugne,verleugnest,verleugnet,verleugnete,verleugnet,verleugnete,verleugne,verleugnet,haben
beraub,berauben,beraube,beraubst,beraubt,beraubte,beraubt,beraubte,beraub,beraubt,haben
heiligsprech,heiligsprechen,spreche heilig,sprichst heilig,spricht heilig,sprach heilig,heiliggesprochen,spräche heilig,spreche heilig,sprecht heilig,haben
zerles,zerlesen,zerlese,zerliest,zerliest,zerlas,zerlesen,zerlas,zerlies,zerlest,haben
